sqft,bedrooms,bathrooms,age,price
936,2,1.0,70,129000
1314,3,2.0,20,176432
1355,3,1.5,112,127000
1088,2,1.5,40,170000
1324,3,1.0,90,128000
1601,3,2.0,48,157000
438,1,1.0,106,60000
950,3,1.0,55,119500
1134,2,1.0,66,135000
1194,3,1.0,67,159500
1302,3,2.5,56,106000
2622,3,2.5,32,325000
1442,3,2.0,36,179900
2021,3,2.5,20,274725
1690,3,2.5,26,181000
1836,3,2.0,22,280000
1658,3,2.5,31,188000
1964,4,2.5,50,205000
816,2,1.0,69,129900
1008,2,1.0,73,134500
833,2,1.0,72,117000
1734,3,2.0,19,318000
1419,3,2.5,24,184100
894,3,1.0,59,130000
1601,3,1.0,68,140000
1040,3,1.0,67,133700
1012,2,1.0,106,118400
1552,3,2.0,21,212900
960,3,1.0,70,112000
698,2,1.0,79,118000
1482,3,2.5,34,163900
1005,2,1.0,71,115000
1555,2,2.0,19,174000
1530,3,2.0,22,259000
1959,4,2.5,22,215000
936,2,1.0,46,140000
1981,4,2.0,98,135000
974,3,1.0,35,93500
2020,3,2.5,31,239500
1600,3,2.5,29,169000
986,2,1.0,100,102000
1252,3,1.0,76,119000
1567,2,2.0,49,196000
1167,3,1.0,106,144000
952,2,1.0,75,139000
1868,4,2.5,50,197500
1006,3,1.0,67,80000
924,2,1.0,85,80000
1576,3,1.0,98,149000
1298,3,2.0,41,180000
1564,3,1.5,85,174500
1111,2,1.0,100,116900
1482,3,1.0,106,143000
932,2,1.0,76,124000
1466,3,1.5,67,149900
1811,2,1.0,70,230000
816,2,1.0,96,120500
1820,4,2.0,61,201800
1437,3,2.0,50,218000
1265,3,2.0,61,179900
1314,2,2.0,19,230000
1580,3,2.0,19,235128
1876,4,2.5,52,185000
1456,3,2.5,48,146000
1640,3,1.0,72,224000
894,3,1.0,58,129000
1432,2,1.5,48,194000
1502,3,2.0,17,233170
1694,3,2.0,18,245350
1671,3,2.5,26,173000
2108,4,2.0,91,235000
1118,3,1.0,49,171000
1261,3,1.0,68,163000
1250,2,2.5,20,171900
2345,4,2.5,94,239000
923,3,1.0,42,119500
1224,3,1.0,100,115000
1343,3,1.5,105,154900
1124,3,1.0,72,93000
2514,4,2.5,36,250000
1130,2,1.0,106,120000
1572,3,1.5,63,186700
1221,4,1.0,102,104900
1699,3,2.0,126,95000
1624,2,2.0,32,262000
1660,3,2.5,24,195000
1804,3,2.5,27,189000
1622,3,1.0,65,168000
1441,2,2.5,27,174000
1472,3,1.0,101,125000
1224,2,2.0,27,165000
1352,4,1.5,57,158000
1456,3,2.5,21,176000
1863,4,2.5,20,219210
1690,3,1.0,110,144000
1212,3,2.0,25,178000
1382,3,1.5,63,148000
864,3,1.0,56,116050
1779,3,2.5,28,197900
1348,3,1.0,101,117000
1630,3,2.0,26,213000
1074,3,1.5,51,153500
2196,3,2.0,36,271900
1056,2,1.0,60,107000
1700,3,2.0,23,200000
1283,3,1.0,64,140000
1660,3,2.0,20,290000
1845,3,2.5,34,189000
1752,4,2.0,38,164000
672,2,1.0,85,113000
999,3,1.0,64,134500
894,3,1.0,60,125000
1902,4,2.0,48,112000
1314,3,2.0,17,229456
912,2,1.0,79,80500
1218,3,1.5,55,91500
912,2,1.0,62,115000
1211,3,1.0,58,134000
1846,3,2.0,77,143000
2136,4,2.0,75,137900
1490,3,2.5,22,184000
1138,3,1.0,68,145000
1933,4,2.5,19,214000
912,2,1.0,61,147000
1507,4,2.0,66,127000
2620,4,3.0,49,190000
1190,3,1.0,64,132500
1224,2,2.0,64,101800
1188,3,1.0,67,142000
1964,4,1.5,115,130000
1784,4,1.5,112,138887
1626,2,2.5,23,175500
1948,4,2.5,22,195000
1141,3,1.5,21,142500
1484,2,2.0,20,265900
1768,3,2.5,23,224900
1689,3,2.0,19,248328
1173,3,2.0,52,170000
1517,3,1.0,97,230000
1868,3,3.5,42,178000
1553,3,2.5,21,186500
1034,3,1.0,50,169900
2058,3,1.5,109,129500
988,3,1.0,76,119000
2110,3,2.5,58,244000
1405,2,2.0,23,171750
874,3,1.0,58,130000
2167,3,2.5,52,294000
1656,3,2.5,23,165400
1367,3,1.0,95,127500
1987,2,2.0,32,301500
864,2,1.0,104,99900
1166,2,2.0,21,190000
1054,3,1.5,57,151000
1675,3,2.5,27,181000
1050,2,1.0,70,128900
1824,3,1.0,107,180500
1337,2,2.0,28,181000
1452,3,2.5,27,183900
1889,4,1.5,116,122000
1524,3,1.5,68,144000
1489,3,2.0,58,185750
935,3,1.0,61,137000
1357,2,1.0,67,177000
1250,3,2.0,116,139000
1920,4,2.0,78,137000
1395,3,1.5,54,162000
1724,3,1.5,59,197900
2031,3,2.5,24,237000
1128,2,1.0,106,68400
1573,3,2.0,24,227000
1339,2,2.0,36,180000
1040,3,2.0,49,150500
1824,4,3.0,55,139000
2447,4,2.0,107,169000
1412,4,1.0,87,132500
1328,3,1.5,63,143000
1582,4,2.0,62,190000
1659,2,2.0,26,278000
1970,3,2.5,20,281000
1152,3,1.0,62,180500
1302,3,2.5,54,119500
2372,4,2.0,134,107500
1664,4,2.5,50,162900
864,2,1.0,71,115000
1052,3,1.5,58,138500
1128,3,2.0,63,155000
1072,2,2.0,21,140000
1246,3,1.5,67,154000
1983,3,2.5,27,225000
1494,3,1.0,84,177500
2526,4,2.5,32,290000
1616,3,2.0,21,232000
1708,3,2.0,22,130000
1652,2,2.0,20,325000
1368,2,2.0,21,202500
990,3,1.0,32,138000
1122,2,1.0,78,147000
1294,3,2.0,35,179200
1902,3,2.0,67,335000
1274,3,2.0,21,203000
2599,4,2.5,27,333168
948,3,1.0,72,119000
2112,4,2.5,57,206900
1630,3,2.0,18,295493
1352,2,2.0,20,208900
1787,3,2.0,25,275000
948,3,1.0,72,111000
1478,3,1.5,69,156500
720,2,1.0,77,72500
1923,3,2.5,34,190000
708,2,1.0,86,82500
1795,2,2.0,20,147000
796,2,1.0,104,55000
774,3,1.0,95,79000
816,3,1.0,44,130500
1632,3,2.5,28,176500
1588,3,2.0,20,227000
954,3,1.0,50,132500
816,2,1.0,88,100000
1360,2,1.5,88,125500
1365,3,1.5,56,125000
1334,2,2.0,49,167900
1656,4,2.0,53,135000
693,2,1.0,85,52500
1861,3,2.5,24,200000
864,3,1.0,54,128500
872,3,1.0,55,123000
1114,3,1.0,23,155000
2169,3,2.5,24,228500
1913,3,1.5,98,177000
1456,3,2.5,20,155835
960,2,1.0,106,108500
2156,3,2.0,58,262500
1776,3,2.0,20,283463
1494,3,2.0,28,215000
1716,4,1.5,64,171000
1176,2,1.0,89,134900
1865,3,2.5,26,235000
1920,4,3.0,58,170000
892,3,1.0,60,110000
1078,3,1.5,55,149900
1573,3,2.5,26,177500
1980,3,2.0,22,315000
2601,4,3.5,105,189000
1530,3,2.0,21,260000
1738,4,2.0,106,104900
1412,3,2.5,20,156932
1200,2,2.5,21,144152
1674,3,2.5,26,216000
1790,3,2.5,27,193000
1475,4,2.0,49,127000
848,1,1.0,23,144000
1668,3,2.0,23,232000
1374,2,1.0,106,105000
1661,3,1.0,71,165500
2097,3,2.5,28,274300
1958,3,2.5,21,250000
1571,3,2.0,19,239000
790,2,1.0,96,91000
1604,3,2.0,85,117000
987,2,1.5,53,83000
1394,3,2.5,20,167500
864,2,1.0,112,58500
2117,4,2.5,56,237500
1762,4,1.5,106,157000
1416,3,2.0,108,112000
1258,2,1.0,87,105000
1154,3,1.0,104,125500
1218,3,1.0,85,131000
1525,3,2.0,26,235000
1584,4,2.0,59,124000
900,3,1.0,59,123000
1912,3,2.0,121,163000
1500,2,2.0,20,246578
2482,4,2.5,21,281213
1687,3,1.0,78,160000
1513,4,1.5,106,137500
1904,3,1.5,76,138000
1608,3,2.5,101,137450
1158,3,1.0,97,120000
1593,3,2.5,22,193000
1294,2,2.0,20,193879
1464,3,2.0,19,282922
1214,3,1.0,111,105000
1646,2,2.0,22,275000
768,2,1.0,54,133000
833,3,1.0,41,112000
1363,3,1.0,116,125500
2093,3,2.5,40,215000
1840,3,2.5,25,230000
1668,3,1.5,76,140000
1040,2,2.0,77,90000
1844,2,2.0,21,257000
1848,4,1.5,103,207000
1569,1,2.0,19,175900
2290,4,2.0,141,122500
2450,3,2.5,28,340000
1144,3,1.5,63,124000
1844,3,2.0,57,223000
1416,3,2.5,58,179900
1069,2,2.0,49,127500
848,1,1.0,23,136500
2201,4,2.0,60,274970
1344,2,1.0,68,144000
1252,3,1.0,67,142000
2127,3,2.5,32,271000
1558,3,1.5,81,140000
804,2,1.0,86,119000
1440,3,2.0,45,182900
1838,4,2.5,21,192140
958,2,2.0,50,143750
968,4,2.0,99,64500
1792,3,2.5,26,186500
1126,3,2.0,49,160000
1537,3,1.5,64,174000
864,3,1.0,55,120500
1236,2,1.0,69,149700
1725,3,2.5,47,197000
2555,3,2.0,104,191000
848,1,1.0,22,149300
2007,3,2.5,18,310000
952,2,1.0,110,121000
1422,3,2.0,22,179600
913,3,1.0,60,129000
1188,3,1.0,64,157900
2090,3,2.5,31,240000
1346,2,1.5,116,112000
630,1,1.0,56,92000
1792,4,3.0,52,136000
1578,3,2.0,18,287090
1072,2,1.0,21,145000
1140,3,1.0,20,84500
1221,2,2.0,22,185000
1647,3,2.5,27,175000
2073,3,2.0,48,210000
2340,4,2.0,85,266500
1078,2,1.0,76,142125
1256,3,1.5,61,147500
